m  interval_upper  nested_upper  old_quad  uplift
 1 0.924876626 0.924876626 0.923446220 0.155%
 2 0.568626833 0.568626833 0.567307586 0.233%
 3 0.540635730 0.540635730 0.539241297 0.259%
 4 0.352396551 0.352396551 0.351162780 0.351%
 5 0.374890878 0.352396551 0.373533472 0.363%
 6 0.247850162 0.247850162 0.246642997 0.489%
 8 0.264515811 0.247850162 0.263172606 0.510%
12 0.235528217 0.235528217 0.234343748 0.505%
16 0.199830969 0.199830969 0.198604809 0.617%
24 0.213322973 0.199830969 0.212033377 0.608%
32 0.133856186 0.133856186 0.132450791 1.061%
